Date,Petrol (USD)
6/9/2003,74.59
6/16/2003,74.53
6/23/2003,74.49333333333334
6/30/2003,74.45750000000001
7/7/2003,74.422
7/14/2003,74.346
7/21/2003,74.46600000000001
7/28/2003,74.602
8/4/2003,74.75600000000001
8/11/2003,74.98800000000001
8/18/2003,75.30800000000002
8/26/2003,75.50400000000002
9/1/2003,75.71000000000001
9/8/2003,75.93200000000002
9/15/2003,76.08400000000002
9/22/2003,76.15200000000002
9/29/2003,76.158
10/6/2003,76.218
10/13/2003,76.152
10/20/2003,76.122
10/27/2003,76.09200000000001
11/3/2003,76.07600000000001
11/10/2003,75.97800000000001
11/17/2003,75.98400000000001
11/24/2003,75.97800000000001
12/1/2003,75.97800000000001
12/8/2003,75.97200000000001
12/15/2003,75.976
12/22/2003,75.974
12/29/2003,75.958
1/5/2004,75.934
1/12/2004,75.92
1/19/2004,76.00000000000001
1/26/2004,76.10400000000001
2/2/2004,76.21200000000002
2/9/2004,76.33600000000001
2/16/2004,76.444
2/23/2004,76.44800000000001
3/1/2004,76.424
3/8/2004,76.474
3/15/2004,76.652
3/22/2004,76.852
3/29/2004,77.09400000000001
4/5/2004,77.40200000000002
4/12/2004,77.632
4/19/2004,77.76200000000001
4/26/2004,77.95400000000001
5/4/2004,78.292
5/10/2004,78.78
5/17/2004,79.50200000000001
5/24/2004,80.32000000000001
5/31/2004,81.11000000000001
6/7/2004,81.742
6/14/2004,81.99000000000001
6/21/2004,81.9
6/28/2004,81.55600000000001
7/5/2004,81.06000000000002
7/12/2004,80.64000000000001
7/19/2004,80.50000000000001
7/26/2004,80.46600000000001
8/2/2004,80.55600000000001
8/9/2004,80.81800000000001
8/16/2004,81.00000000000003
8/23/2004,81.13400000000001
8/31/2004,81.266
9/6/2004,81.36800000000001
9/13/2004,81.394
9/20/2004,81.4
9/27/2004,81.424
10/4/2004,81.52799999999999
10/11/2004,81.876
10/18/2004,82.284
10/25/2004,82.816
11/1/2004,83.34400000000001
11/8/2004,83.802
11/15/2004,84.03200000000001
11/22/2004,83.654
11/29/2004,83.7
12/6/2004,83.658
12/20/2004,83.082
12/27/2004,82.47
1/3/2005,82.412
1/10/2005,81.54599999999999
